name,current_rank,current_pts
Ani Amiraghyan,760,47
Valeriya Yushchenko,761,47
Giulia Safina Popa,762,47
Ayumi Miyamoto,763,47
Kateryna Lazarenko,764,47
Milana Zhabrailova,765,47
Diana-Ioana Simionescu,766,47
Sarah Iliev,767,47
Adelina Lachinova,768,46
Ayumi Koshiishi,769,46
Noelia Bouzo Zanotti,770,46
Xi Luo,771,46
Marjorie Souza,772,46
Isabella Barrera Aguirre,773,46
Madelief Hageman,774,46
Sayaka Ishii,775,45
Georgina García Pérez,776,45
Arina Arifullina,777,45
Monique Barry,778,45
Kali Šupová,779,45
Honoka Kobayashi,780,45
Karine Sarkisova,781,45
Olga Danilova,782,45
Marta Soriano Santiago,783,45
Paula Cembranos,784,45
Anca Todoni,785,44
Draginja Vuković,786,44
Anamaria Oana,787,44
Ulyana Hrabavets,788,44
Amy Sucha,789,44
Petra Konjikušić,790,44
Shiho Tsujioka,791,44
Lorena Solar Donoso,792,44
Dasha Plekhanova,793,43
Emina Bektas,794,43
Deniz Dilek,795,43
Brooke Black,796,43
Kanon Sawashiro,797,43
Raphaëlle Lacasse,798,43
Ylena In-Albon,799,42
Meiling Wang,800,42
Duru Soke,801,42
Charo Esquiva Banuls,802,42
Eszter Méri,803,42
Kallista Liu,804,42
Chloé Noël,805,42
Sara Mikača,806,42
Maria Oliver Sanchez,807,42
Laquisa Khan,808,41
Janae Preston,809,41
Kamonwan Yodpetch,810,41
Nagi Hanatani,811,41
Chia Yi Tsao,812,41
Julia Stamatova,813,41
Zarina Diyas,814,40
Liv Boulard,815,40
Tiana Tian Deng,816,40
Marcelina Podlińska,817,40
Berta Passola,818,40
Haruna Arakawa,819,40
Mika Buchnik,820,40
Aspen Schuman,821,40
Sara Victoria Balan,822,40
Lauryn John-Baptiste,823,40
Kamilla Bartone,824,40
Yingqun Sun,825,40
Coco Bosman,826,40
Maria Toma,827,40
Ru Xi Wu,828,39
Lian Tran,829,39
Amelia Paszun,830,39
Aishi Das,831,39
Zuzanna Kolonus,832,39
Meritxell Teixido Garcia,833,39
İlay Yörük,834,38
Carmen Lopez Martinez,835,38
Jimar Gerald Gonzalez,836,38
Ya-Hsuan Lee,837,38
Salma Ewing,838,38
Stefania Bojica,839,38
Alyssa Ahn,840,37
Monika Ekstrand,841,37
Christasha McNeil,842,37
Maia Ilinca Burcescu,843,37
Piper Charney,844,37
Georgia Crăciun,845,37
Françoise Abanda,846,37
Capucine Jauffret,847,37
Luisa Meyer Auf Der Heide,848,37
Yuhan Liu,849,37
Ksenia Laskutova,850,37
Anna Hertel,851,37
Kristina Mladenovic,852,36
Usue Maitane Arconada,853,36
Alice Robbe,854,36
Camila Romero,855,36
Maria Sholokhova,856,36
Lisa Claeys,857,36
Mutsumi Uemura,858,36
Maayan Laron,859,36
Elena Jamshidi,860,36
Ella Haavisto,861,36
Arina Vasilescu,862,36
Anita Sahdiieva,863,36
Valentina Mediorreal Arias,864,35
Mariella Thamm,865,35
Marilouise van Zyl,866,35
Jana Hossam Salah,867,35
Da-bin Kim,868,35
Amy Stevens,869,35
Marie Villet,870,35
Diāna Marcinkēviča,871,35
Anna Frey,872,34
Michaela Bayerlová,873,34
Suha Lee,874,34
Emma Slavíková,875,34
Jiangxue Han,876,34
Hiroko Kuwata,877,33
Victoria Pohle,878,33
Matilde Paoletti,879,33
Krisha Mahendran,880,33
Chukwumelije Clarke,881,33
Laura Svatíková,882,33
Isabella Marton,883,32
Eudice Chong,884,32
Nika Radišić,885,32
Emma Dong,886,32
Meng Yi Chen,887,32
Mia Slama,888,32
Josefina Estevez,889,32
Danka Kovinić,890,31
Ashley Lahey,891,31
Jessica Bertoldo,892,31
Midori Castillo Meza,893,31
Kate Fakih,894,31
Shihomi Li Xuan Leong,895,31
Salma Drugdová,896,31
Carolin Raschdorf,897,31
Eva Marie Desvignes,898,31
Leonie Küng,899,30
Nadiya Kolb,900,30
Maria Torres Murcia,901,30
Jizelle Sibai,902,30
Cristiana Todoni,903,30
Ariana Geerlings,904,30
Yuliya Perapekhina,904,30
Kateryna Diatlova,906,30
Aya El Sayed,907,30
Natsuho Arakawa,908,30
Johanna Silva,909,30
Arina Varaksina,910,30
Jaedan Brown,911,30
Claudia Ferrer Perez,912,30
Ustiniya Lekomtseva,913,30
Lilian Poling,914,30
Astra Sharma,915,29
Daphnée Mpetshi Perricard,916,29
Anna Pircher,917,29
Welles Newman,918,29
Lola Giza,919,29
Anastasija Cvetković,920,29
Misa Malkin,921,29
Ruby Cooling,922,29
Agustina Chlpac,923,29
Chiara Fornasieri,924,29
Iveta Dapkutė,925,29
Mandegar Farzami,926,29
Klara Veldman,927,29
Nanari Katsumi,928,29
Kennedy Drenser-Hagmann,929,28
Sabastiani Leon,930,28
Akanksha Nitture,931,28
Lexington Reed,932,28
Francesca Mattioli,933,28
Emily Sartz-Lunde,934,28
Emma Jackson,935,28
